"","eps","kappa","n","Dist","MeanDist","MeanNTH","MeanBoot","MedianDist","MedianNTH","MedianBoot"
"5.1183",0.1,20,50,"Cayley",0.121082766117218,0.131535632969963,0.127984375085976,0.0563265210620316,0.13364512020907,0.145072863124111
"5.1184",0.1,20,50,"Cayley",0.184831230948303,0.133604069516814,0.142580548916161,0.12697699386026,0.118038800184715,0.130883628815809
"5.1185",0.1,20,50,"Cayley",0.0770350727049834,0.12511339130833,0.124680610692042,0.0977367174009469,0.0898007966166002,0.103240747503265
"5.1186",0.1,20,50,"Cayley",0.0918454576576004,0.129837857278788,0.13897347361848,0.0830231394730745,0.138182610692077,0.183061000551228
"5.1187",0.1,20,50,"Cayley",0.0945914448889128,0.129052991333604,0.135271788618169,0.0650997011465926,0.131568736279976,0.185222791601552
"5.1188",0.1,20,50,"Cayley",0.115324680644211,0.133845200020291,0.133677925945474,0.0873348176477355,0.128423704604099,0.150625927977532
"5.1189",0.1,20,50,"Cayley",0.122985713694764,0.12870899999206,0.134282050257556,0.062568760927077,0.108687542547248,0.127292312389819
"5.1190",0.1,20,50,"Cayley",0.102284185743795,0.128018911089233,0.135718164851145,0.0184846682805855,0.115539763656988,0.144239620130003
"5.1191",0.1,20,50,"Cayley",0.0983101978664511,0.139614492782609,0.142478807476806,0.0416710747838261,0.0785301056897105,0.0819871646296731
"5.1192",0.1,20,50,"Cayley",0.130740394051647,0.139088991829417,0.146688565716836,0.064951201482668,0.129195393725497,0.157937473758726
"5.1193",0.1,20,50,"Cayley",0.125496729423471,0.143006919658388,0.15220938517838,0.0579200458628133,0.13549370788896,0.145406156607568
"5.1194",0.1,20,50,"Cayley",0.0464620464356135,0.122008631294427,0.131420364028178,0.0474639950084316,0.12083078525747,0.149509468223492
"5.1195",0.1,20,50,"Cayley",0.1505630335446,0.128036377172271,0.131444101374764,0.10078423799118,0.137569636156666,0.151435175216668
"5.1196",0.1,20,50,"Cayley",0.138150399866032,0.136782889431963,0.141915648843708,0.0506930324025792,0.140226616302167,0.194138557432829
"5.1197",0.1,20,50,"Cayley",0.16661548667799,0.139580404631916,0.15158830917943,0.0702141374337214,0.129089918817913,0.149116331388842
"5.1198",0.1,20,50,"Cayley",0.083148692234328,0.138638798434839,0.145836155186766,0.0395179757745994,0.147820768577313,0.163833665754156
"5.1199",0.1,20,50,"Cayley",0.201766475261292,0.146181970407513,0.14075633118864,0.155626520948665,0.151224111052326,0.183408647114741
"5.1200",0.1,20,50,"Cayley",0.0876972697338609,0.139531596639681,0.141314217825279,0.137777689198979,0.129305595099097,0.157542741403925
"5.1201",0.1,20,50,"Cayley",0.0764405782663239,0.131316640904783,0.137432727573364,0.0847801850243371,0.118550892977225,0.139837176066786
"5.1202",0.1,20,50,"Cayley",0.10192647260975,0.131167705053237,0.13524793263177,0.0651411284434936,0.123432278846943,0.148974646183667
"5.1203",0.1,20,50,"Cayley",0.023205867050694,0.131131244390862,0.130197722446647,0.0397420633375858,0.107183666882424,0.116615109841741
"5.1204",0.1,20,50,"Cayley",0.149643038898646,0.127374440179554,0.124346372496304,0.107254904995594,0.104572312776292,0.110066088633582
"5.1205",0.1,20,50,"Cayley",0.112599108685567,0.138722751679442,0.153594740263349,0.0556713514850071,0.139962051985217,0.160985073514591
"5.1206",0.1,20,50,"Cayley",0.138701452772023,0.126886913774498,0.129665829080784,0.0914982685844085,0.132165489060837,0.144112853529601
"5.1207",0.1,20,50,"Cayley",0.0861851786308126,0.135409337277831,0.137790419604322,0.0435114108086169,0.148596445905449,0.167609249878513
"5.1208",0.1,20,50,"Cayley",0.149734436242391,0.133640629151903,0.131889201027605,0.157400154588837,0.132765570423457,0.159572991209747
"5.1209",0.1,20,50,"Cayley",0.178387448379073,0.135652829847981,0.143688778721046,0.163903415186862,0.142745807149666,0.174918027540765
"5.1210",0.1,20,50,"Cayley",0.15456457107974,0.134598393437138,0.134273658558067,0.112242340992134,0.133752320772881,0.172506842791807
"5.1211",0.1,20,50,"Cayley",0.0632165455051517,0.136688220218844,0.139783252267632,0.043465372996344,0.138147740921681,0.164250646663846
"5.1212",0.1,20,50,"Cayley",0.111275334751397,0.140064601683384,0.145820124242401,0.102331084299773,0.120603958065161,0.148316517627577
"5.1213",0.1,20,50,"Cayley",0.057541578520737,0.127953067721127,0.127131203585141,0.0303081816740381,0.119673024730719,0.154993450908501
"5.1214",0.1,20,50,"Cayley",0.128505876732492,0.138395944875631,0.147408748206614,0.103563158690932,0.133091339909597,0.155894738380189
"5.1215",0.1,20,50,"Cayley",0.125009872232527,0.128219389971787,0.139851108195289,0.0620174203673495,0.109774307542174,0.124782382040802
"5.1216",0.1,20,50,"Cayley",0.0667139620207811,0.119610737133498,0.138010687196923,0.069605211463594,0.106142966974053,0.122460450436603
"5.1217",0.1,20,50,"Cayley",0.0903583058434005,0.136794104315415,0.137555753979846,0.126499273262124,0.128076486528648,0.150984356046679
"5.1218",0.1,20,50,"Cayley",0.0680570621377475,0.12510249771751,0.130055579860682,0.0427154288204492,0.107803317239746,0.146983923579019
"5.1219",0.1,20,50,"Cayley",0.101403964995356,0.133368711697599,0.145737202553324,0.0682163987132389,0.133947469403102,0.168498468852382
"5.1220",0.1,20,50,"Cayley",0.115320628449484,0.122211789049586,0.124460383341109,0.0384778094081844,0.0940377941519487,0.112401394622452
"5.1221",0.1,20,50,"Cayley",0.102682302493261,0.135185436816872,0.137856508507271,0.0546904641361552,0.133986301241599,0.16160005566779
"5.1222",0.1,20,50,"Cayley",0.163157305819534,0.127075907134473,0.128490922524143,0.110246679501266,0.104942721627184,0.139041210692375
"5.1223",0.1,20,50,"Cayley",0.0581895136210681,0.138157703020076,0.141670472985546,0.0537807472860639,0.126767125769556,0.163276987763541
"5.1224",0.1,20,50,"Cayley",0.15157064755615,0.142209980134521,0.139662510289556,0.094313911108718,0.128105037865019,0.146670241231
"5.1225",0.1,20,50,"Cayley",0.147686211664429,0.147818675210198,0.150875696079697,0.0947042934748115,0.130779062429131,0.163187658132574
"5.1226",0.1,20,50,"Cayley",0.259637842601297,0.130011600588073,0.134232453665394,0.231467750320222,0.141513286890216,0.162276312366373
"5.1227",0.1,20,50,"Cayley",0.167545047874989,0.125256771683773,0.130243053164864,0.146994006557882,0.112575051354537,0.139838708473318
"5.1228",0.1,20,50,"Cayley",0.115545740531133,0.123334183679484,0.134491589742066,0.1142653670806,0.100345947376229,0.113836358614685
"5.1229",0.1,20,50,"Cayley",0.174331976265983,0.127171856360886,0.134403996932819,0.126499472324703,0.126876762754087,0.142459160306597
"5.1230",0.1,20,50,"Cayley",0.0805579439829778,0.12462587864715,0.128079621727372,0.0294144484941181,0.116277100944938,0.137190365896449
"5.1231",0.1,20,50,"Cayley",0.124541436073196,0.137118611250374,0.144797686557839,0.0906970430671986,0.142968037404527,0.18037296306873
"5.1232",0.1,20,50,"Cayley",0.14827926239543,0.132726956625399,0.136714496675359,0.085090348352209,0.133647844911252,0.165183405384058
"5.1233",0.1,20,50,"Cayley",0.0589790985014325,0.133851562884475,0.135870040159095,0.0846535003781922,0.124042527356404,0.139524246585371
"5.1234",0.1,20,50,"Cayley",0.15560749396069,0.142461988330345,0.150215402412122,0.132279651488504,0.138790131201599,0.168441882653055
