"","Kappa","n","cover","width","Saccept","Kaccept"
"351",2,10,1,0.693472875927419,0.4108,0.4134
"352",2,10,1,0.738368256321418,0.465,0.4426
"353",2,10,1,0.799317789085794,0.4826,0.4494
"354",2,10,0,0.655894159790421,0.4044,0.4076
"355",2,10,1,0.878815701005465,0.4532,0.4518
"356",2,10,1,0.71885718992568,0.4608,0.435
"357",2,10,1,1.02047196509912,0.535,0.4826
"358",2,10,1,0.69395688180148,0.429,0.4158
"359",2,10,1,1.40431073366832,0.563,0.5196
"360",2,10,1,0.511459932026004,0.3188,0.3728
"361",2,10,1,1.09730474511231,0.5736,0.521
"362",2,10,1,0.724782165462909,0.4444,0.4216
"363",2,10,1,1.31081825186941,0.5472,0.5046
"364",2,10,0,0.693880164571596,0.4342,0.414
"365",2,10,1,0.651075999012741,0.383,0.3994
"366",2,10,1,0.863244345935456,0.5164,0.479
"367",2,10,1,0.589103585843929,0.3322,0.3976
"368",2,10,0,0.612064498009781,0.368,0.4084
"369",2,10,1,0.714215214787103,0.4466,0.4248
"370",2,10,1,0.732366949176418,0.448,0.4216
"371",2,10,1,1.18536380132709,0.5402,0.5084
"372",2,10,1,0.751826198406091,0.4424,0.4316
"373",2,10,1,0.692707367551803,0.427,0.4262
"374",2,10,1,1.08721506208782,0.5296,0.4904
"375",2,10,0,1.12013487007034,0.491,0.479
"376",2,10,0,0.616386186140893,0.3858,0.4066
"377",2,10,0,0.700358547365596,0.431,0.4218
"378",2,10,1,0.765376829379845,0.4678,0.4378
"379",2,10,1,1.19680637370146,0.4724,0.4656
"380",2,10,1,0.751380076080448,0.4516,0.433
"381",2,10,1,0.702348069170366,0.4322,0.423
"382",2,10,1,0.64767103272441,0.4092,0.4098
"383",2,10,1,0.766240782720336,0.462,0.4434
"384",2,10,1,0.602455365733933,0.3746,0.4068
"385",2,10,1,0.745145684181304,0.4366,0.4228
"386",2,10,1,0.793579964023878,0.4464,0.4404
"387",2,10,1,0.65959355020017,0.4144,0.421
"388",2,10,1,1.30389390063041,0.5414,0.4904
"389",2,10,1,0.838481155401403,0.529,0.4826
"390",2,10,1,0.733392582814005,0.434,0.416
"391",2,10,1,0.722454723141544,0.4206,0.4354
"392",2,10,1,0.775875434242159,0.4718,0.4646
"393",2,10,1,0.703090437781775,0.4014,0.431
"394",2,10,0,0.645586603526761,0.4128,0.4212
"395",2,10,1,0.863013091707077,0.5188,0.4762
"396",2,10,0,0.758460067926215,0.4478,0.422
"397",2,10,1,0.733006286078086,0.4452,0.416
"398",2,10,1,0.591783942249123,0.3614,0.4056
"399",2,10,1,0.703397865819557,0.4342,0.4374
"400",2,10,1,0.823810400241173,0.5062,0.4626
"401",2,10,0,0.611813695735132,0.3874,0.4016
"402",2,10,1,0.679807201588759,0.4138,0.4216
"403",2,10,1,0.743594407735487,0.4434,0.4314
"404",2,10,1,0.752007932122433,0.465,0.4362
"405",2,10,1,1.44821459561763,0.5746,0.52
"406",2,10,1,0.655475294311265,0.3856,0.4028
"407",2,10,0,0.663770930877235,0.4238,0.421
"408",2,10,1,0.950264496182032,0.471,0.4518
"409",2,10,1,0.628448364661903,0.4056,0.397
"410",2,10,1,0.659004927794044,0.429,0.4154
"411",2,10,0,0.506850585643447,0.3028,0.3816
"412",2,10,1,0.677667501405072,0.4074,0.4156
"413",2,10,1,0.531362143501377,0.3162,0.4014
"414",2,10,1,0.810952886804249,0.481,0.437
"415",2,10,1,0.712919202896356,0.4382,0.4304
"416",2,10,1,0.72895526014016,0.4444,0.4252
"417",2,10,1,1.02852380667089,0.54,0.4934
"418",2,10,1,0.652396012982855,0.384,0.4038
"419",2,10,1,1.05231024385188,0.5402,0.4984
"420",2,10,1,0.840370285932837,0.4736,0.4438
